Ano,Município/UF,Espécie e/ou Matriz,ÁCARO,BACTÉRIA,FUNGO,INSETO,NEMATOIDE
2022,Marechal Cândido Rondon/PR,Armadilha/Insetos em álcool,SR,‘Candidatus’ Phytoplasma asteris,SR,Dalbulus maidis,SR
2022,Imbituva/PR,Armadilha/Insetos em álcool,SR,‘Candidatus’ Phytoplasma asteris,SR,Dalbulus maidis,SR
2022,Laranjeiras do Sul/PR,Armadilha/Insetos em álcool,SR,SR,SR,Dalbulus maidis,SR
2022,Faxinal/PR,Armadilha/Insetos em álcool,SR,SR,SR,Dalbulus maidis,SR
2022,União da Vitória/PR,Armadilha/Insetos em álcool,SR,SR,SR,Dalbulus maidis,SR
2022,União da Vitória/PR,Armadilha/Insetos em álcool,SR,‘Candidatus’ Phytoplasma asteris; Spiroplasma kunkelii,SR,Dalbulus maidis,SR
2022,Ibaiti/PR,Armadilha/Insetos em álcool,SR,SR,SR,Dalbulus maidis,SR
2022,Japira/PR,Armadilha/Insetos em álcool,SR,SR,SR,Dalbulus maidis,SR
2022,Iporã/PR,Armadilha/Insetos em álcool,SR,SR,SR,Dalbulus maidis,SR
2022,Jandaia do Sul/PR,Armadilha/Insetos em álcool,SR,SR,SR,Dalbulus maidis,SR
2022,Rolândia/PR,Armadilha/Insetos em álcool,SR,‘Candidatus’ Phytoplasma asteris,SR,Dalbulus maidis,SR
2022,Paranavaí/PR,Armadilha/Insetos em álcool,SR,SR,SR,Dalbulus maidis,SR
2022,Paranavaí/PR,Armadilha/Insetos em álcool,SR,‘Candidatus’ Phytoplasma asteris; Spiroplasma kunkelii,SR,Dalbulus maidis,SR
2022,Morretes/PR,Armadilha/Insetos em álcool,SR,SR,SR,Dalbulus maidis,SR
2022,Morretes/PR,Armadilha/Insetos em álcool,SR,Spiroplasma kunkelii,SR,Dalbulus maidis,SR
2022,Morretes/PR,Armadilha/Insetos em álcool,SR,‘Candidatus’ Phytoplasma asteris,SR,Dalbulus maidis,SR
2022,Guaíra/PR,Armadilha/Insetos em álcool,SR,SR,SR,Dalbulus maidis,SR
2022,Guaíra/PR,Armadilha/Insetos em álcool,SR,‘Candidatus’ Phytoplasma asteris; Spiroplasma kunkelii,SR,Dalbulus maidis,SR
2022,Sertaneja/PR,Armadilha/Insetos em álcool,SR,SR,SR,Dalbulus maidis,SR
2022,Porto Vitória/PR,Armadilha/Insetos em álcool,SR,SR,SR,Dalbulus maidis,SR
2022,Paulo Frontin/PR,Armadilha/Insetos em álcool,SR,SR,SR,Dalbulus maidis,SR
2022,Clevelândia/PR,Armadilha/Insetos em álcool,SR,SR,SR,Dalbulus maidis,SR
2022,Bom Jesus do Sul/PR,Armadilha/Insetos em álcool,SR,SR,SR,Dalbulus maidis,SR
2022,Pranchita/PR,Armadilha/Insetos em álcool,SR,‘Candidatus’ Phytoplasma asteris; Spiroplasma kunkelii,SR,Dalbulus maidis,SR
2022,Pranchita/PR,Armadilha/Insetos em álcool,SR,‘Candidatus’ Phytoplasma asteris,SR,Dalbulus maidis,SR
2022,Cruzeiro do Iguaçu/PR,Armadilha/Insetos em álcool,SR,Spiroplasma kunkelii,SR,Dalbulus maidis,SR
2022,Paranavaí/PR,Armadilha/Insetos em álcool,SR,‘Candidatus’ Phytoplasma asteris,SR,Dalbulus maidis,SR
2022,Ângulo/PR,Armadilha/Insetos em álcool,SR,Spiroplasma kunkelii,SR,Dalbulus maidis,SR
2022,Iporã/PR,Armadilha/Insetos em álcool,SR,Spiroplasma kunkelii,SR,Dalbulus maidis,SR
2022,Imbituva/PR,Armadilha/Insetos em álcool,SR,Spiroplasma kunkelii,SR,Dalbulus maidis,SR
2022,Cruzeiro do Iguaçu/PR,Armadilha/Insetos em álcool,SR,SR,SR,Dalbulus maidis,SR
2022,União da Vitória/PR,Armadilha/Insetos em álcool,SR,‘Candidatus’ Phytoplasma asteris,SR,Dalbulus maidis,SR
2022,Marechal Cândido Rondon/PR,Armadilha/Insetos em álcool,SR,SR,SR,Dalbulus maidis,SR
2022,Marechal Cândido Rondon/PR,Armadilha/Insetos em álcool,SR,Spiroplasma kunkelii,SR,Dalbulus maidis,SR
2022,Paranavaí/PR,Armadilha/Insetos em álcool,SR,Spiroplasma kunkelii,SR,Dalbulus maidis,SR
2022,Pranchita/PR,Armadilha/Insetos em álcool,SR,SR,SR,Dalbulus maidis,SR
2022,Pranchita/PR,Armadilha/Insetos em álcool,SR,Spiroplasma kunkelii,SR,Dalbulus maidis,SR
2022,Guarapuava/PR,Armadilha/Insetos em álcool,SR,SR,SR,Dalbulus maidis,SR
2022,Cambé/PR,Armadilha/Insetos em álcool,SR,SR,SR,Dalbulus maidis,SR
2022,Rancho Alegre/PR,Armadilha/Insetos em álcool,SR,SR,SR,Dalbulus maidis,SR
